LocalityDescription	Lawn	Urban	Naturalness
Hasselholz_P_2020_E2.2	0	0	AM
Hasselholz_PS_2020_E2.2	0	0	AM
Hasselholz_PSB_2020_E2.2	0	0	AM
Wurmtal_Mitte_2021_E2.2	0	0	AM
Wurmtal_Ost_2021_E2.2	0	0	AM
Wurmtal_West_2021_E2.2	0	0	AM
Z_AR_2002_E2.23	0	0	AM
Brache1_2008_E2.7	0	0	HM
Brache2_2008_E2.7	0	0	HM
D_2008_E2.7	0	0	HM
DS1_1996_E2.23	0	0	HM
DS2_1996_E2.3	0	0	HM
DS3_1996_E2.3	0	0	HM
HB1_1996_E2.3	0	0	HM
HB2_1996_E2.3	0	0	HM
KB_1996_E2.3	0	0	HM
L_1996_E2.23	0	0	HM
P1_1996_E2.23	0	0	HM
P2_1996_E2.23	0	0	HM
P3_1996_E2.23	0	0	HM
Wi1_2008_E2.23	0	0	HM
Wi2_2008_E2.23	0	0	HM
Breitbenden_P_2020_E5.1	0	1	UE
Breitbenden_PS_2020_E5.1	0	1	UE
EON_2020_E5.1	0	1	UE
BahnhofNord_2021_E2.6	1	1	UI
Buerowiese_2019_E2.6	1	1	UI
Ferberpark_2020_E2.6	1	1	UI
Hanbruch_Ost_2021_E2.6	1	1	UI
Hochfrequenz_2021_E2.6	1	1	UI
Nelson-Mandela_2020_E2.6	1	1	UI
Ostfriedhof_2020_E2.6	1	1	UI
Salvator_Mitte_2021_E2.6	1	1	UI
Salvator_Nord_2021_E2.6	1	1	UI
Salvator_Sued_2021_E2.6	1	1	UI
Stadtgarten_2020_E2.6	1	1	UI
Westfriedhof_2021_E5.1	1	1	UI
Wilhelm-Pitz_2021_E2.6	1	1	UI
