LastIdentificationCache	Gender	NumberOfUnits	LocalityDescription	LocalityDescription_2	CollectionDay	CollectionMonth	CollectionYear	CollectionEndDay	CollectionEndMonth	CollectionEndYear	CollectionTimeSpan	CollectingMethod	EUNIS	Altitude	Value	PlotID	startdate	enddate
Pardosa palustris	male	1	BahnhofNord	BahnhofNord_2021_E2.6	22	4	2021	4	5	2021	161	Bodenfalle	E2.6		5		22.04.2021	04.05.2021
Pardosa palustris	female	1	BahnhofNord	BahnhofNord_2021_E2.6	22	4	2021	4	5	2021	161	Bodenfalle	E2.6		5		22.04.2021	04.05.2021
Pardosa palustris	female	1	BahnhofNord	BahnhofNord_2021_E2.6	22	4	2021	4	5	2021	161	Bodenfalle	E2.6		5		22.04.2021	04.05.2021
Pardosa palustris	male	2	BahnhofNord	BahnhofNord_2021_E2.6	22	4	2021	4	5	2021	161	Bodenfalle	E2.6		5		22.04.2021	04.05.2021
Pardosa prativaga	male	1	BahnhofNord	BahnhofNord_2021_E2.6	22	4	2021	4	5	2021	161	Bodenfalle	E2.6		5		22.04.2021	04.05.2021
Pardosa pullata	male	1	BahnhofNord	BahnhofNord_2021_E2.6	22	4	2021	4	5	2021	161	Bodenfalle	E2.6		5		22.04.2021	04.05.2021
Pardosa tenuipes	male	1	BahnhofNord	BahnhofNord_2021_E2.6	22	4	2021	4	5	2021	161	Bodenfalle	E2.6		5		22.04.2021	04.05.2021
Pardosa tenuipes	male	1	BahnhofNord	BahnhofNord_2021_E2.6	22	4	2021	4	5	2021	161	Bodenfalle	E2.6		5		22.04.2021	04.05.2021
Drassyllus pusillus	male	1	BahnhofNord	BahnhofNord_2021_E2.6	4	5	2021	20	5	2021	161	Bodenfalle	E2.6		5		04.05.2021	20.05.2021
Erigone atra	female	1	BahnhofNord	BahnhofNord_2021_E2.6	4	5	2021	20	5	2021	161	Bodenfalle	E2.6		5		04.05.2021	20.05.2021
Erigone dentipalpis	male	1	BahnhofNord	BahnhofNord_2021_E2.6	4	5	2021	20	5	2021	161	Bodenfalle	E2.6		5		04.05.2021	20.05.2021
Hahnia nava	male	1	BahnhofNord	BahnhofNord_2021_E2.6	4	5	2021	20	5	2021	161	Bodenfalle	E2.6		5		04.05.2021	20.05.2021
Pardosa palustris	female	1	BahnhofNord	BahnhofNord_2021_E2.6	4	5	2021	20	5	2021	161	Bodenfalle	E2.6		5		04.05.2021	20.05.2021
Pardosa palustris	male	1	BahnhofNord	BahnhofNord_2021_E2.6	4	5	2021	20	5	2021	161	Bodenfalle	E2.6		5		04.05.2021	20.05.2021
Pardosa palustris	male	1	BahnhofNord	BahnhofNord_2021_E2.6	4	5	2021	20	5	2021	161	Bodenfalle	E2.6		5		04.05.2021	20.05.2021
Pardosa palustris	female	2	BahnhofNord	BahnhofNord_2021_E2.6	4	5	2021	20	5	2021	161	Bodenfalle	E2.6		5		04.05.2021	20.05.2021
Pardosa palustris	male	3	BahnhofNord	BahnhofNord_2021_E2.6	4	5	2021	20	5	2021	161	Bodenfalle	E2.6		5		04.05.2021	20.05.2021
Pardosa palustris	female	2	BahnhofNord	BahnhofNord_2021_E2.6	4	5	2021	20	5	2021	161	Bodenfalle	E2.6		5		04.05.2021	20.05.2021
Pardosa palustris	male	1	BahnhofNord	BahnhofNord_2021_E2.6	4	5	2021	20	5	2021	161	Bodenfalle	E2.6		5		04.05.2021	20.05.2021
Pardosa prativaga	male	1	BahnhofNord	BahnhofNord_2021_E2.6	4	5	2021	20	5	2021	161	Bodenfalle	E2.6		5		04.05.2021	20.05.2021
Pardosa tenuipes	female	1	BahnhofNord	BahnhofNord_2021_E2.6	4	5	2021	20	5	2021	161	Bodenfalle	E2.6		5		04.05.2021	20.05.2021
Tenuiphantes tenuis	female	1	BahnhofNord	BahnhofNord_2021_E2.6	4	5	2021	20	5	2021	161	Bodenfalle	E2.6		5		04.05.2021	20.05.2021
Tenuiphantes tenuis	female	1	BahnhofNord	BahnhofNord_2021_E2.6	4	5	2021	20	5	2021	161	Bodenfalle	E2.6		5		04.05.2021	20.05.2021
Xysticus kochi	male	1	BahnhofNord	BahnhofNord_2021_E2.6	4	5	2021	20	5	2021	161	Bodenfalle	E2.6		5		04.05.2021	20.05.2021
Agyneta rurestris	male	1	BahnhofNord	BahnhofNord_2021_E2.6	20	5	2021	1	6	2021	161	Bodenfalle	E2.6		5		20.05.2021	01.06.2021
Drassyllus pusillus	male	2	BahnhofNord	BahnhofNord_2021_E2.6	20	5	2021	1	6	2021	161	Bodenfalle	E2.6		5		20.05.2021	01.06.2021
Drassyllus pusillus	male	1	BahnhofNord	BahnhofNord_2021_E2.6	20	5	2021	1	6	2021	161	Bodenfalle	E2.6		5		20.05.2021	01.06.2021
Erigone dentipalpis	male	1	BahnhofNord	BahnhofNord_2021_E2.6	20	5	2021	1	6	2021	161	Bodenfalle	E2.6		5		20.05.2021	01.06.2021
Pardosa palustris	female	1	BahnhofNord	BahnhofNord_2021_E2.6	20	5	2021	1	6	2021	161	Bodenfalle	E2.6		5		20.05.2021	01.06.2021
Pardosa palustris	male	1	BahnhofNord	BahnhofNord_2021_E2.6	20	5	2021	1	6	2021	161	Bodenfalle	E2.6		5		20.05.2021	01.06.2021
Pardosa palustris	female	3	BahnhofNord	BahnhofNord_2021_E2.6	20	5	2021	1	6	2021	161	Bodenfalle	E2.6		5		20.05.2021	01.06.2021
Pardosa palustris	male	1	BahnhofNord	BahnhofNord_2021_E2.6	20	5	2021	1	6	2021	161	Bodenfalle	E2.6		5		20.05.2021	01.06.2021
Pardosa palustris	female	2	BahnhofNord	BahnhofNord_2021_E2.6	20	5	2021	1	6	2021	161	Bodenfalle	E2.6		5		20.05.2021	01.06.2021
Pardosa palustris	male	1	BahnhofNord	BahnhofNord_2021_E2.6	20	5	2021	1	6	2021	161	Bodenfalle	E2.6		5		20.05.2021	01.06.2021
Pardosa palustris	female	1	BahnhofNord	BahnhofNord_2021_E2.6	20	5	2021	1	6	2021	161	Bodenfalle	E2.6		5		20.05.2021	01.06.2021
Pardosa palustris	male	1	BahnhofNord	BahnhofNord_2021_E2.6	20	5	2021	1	6	2021	161	Bodenfalle	E2.6		5		20.05.2021	01.06.2021
Pardosa prativaga	male	1	BahnhofNord	BahnhofNord_2021_E2.6	20	5	2021	1	6	2021	161	Bodenfalle	E2.6		5		20.05.2021	01.06.2021
